"image","xmin","ymin","xmax","ymax","label"
"07092019_tzr_tzr_141610-780x501.jpg",7.572815533980583,83.08809714879153,780,336.9936862726586,"airplane"
"01_Common-Myths-About-Airplanes-You-Need-to-Stop-Believing_559714906_motive56-760x506.jpg",26.932038834951456,167.3508791909621,731.9611650485436,358.39169551749274,"airplane"
"1.jpg",17.12034996473907,136.7058823529412,254.04418635401976,228.5316742081448,"airplane"
"0709_sweeps_rv_10.jpg",133.59223300970874,447.4784482758621,3052.4271844660193,1308.6853448275863,"airplane"
"081819.N.DNT.SeaplaneC2.jpg",1.6601941747572815,0.17274844720496896,1132.252427184466,668.5019409937889,"airplane"
"1127588194-1280x720.jpg",294.9029126213592,47.64915263385147,372.45145631067953,102.92462759067358,"airplane"
"1537400876704.jpg",0.9029126213592232,1.1423356681034484,619.9999999999999,299.59750808189654,"airplane"
"14h_sep2018_donfunkeimg_5281_live.jpg",144.75728155339806,1037.312429218573,3994.0776699029125,3136.972678369196,"airplane"
"12688044084_26b1b5c23b_b.jpg",44.24077669902913,86.66736227045075,980.2563106796116,503.3660267111853,"airplane"
"1523513-airplane-wallpapers-1920x1080-4k.jpg",10.25242718446602,169.79741379310343,1911.611650485437,905.3146551724137,"airplane"
"190721135435-02-venezuela-su-30-0721-exlarge-169.jpg",4.922330097087379,86.76432966321244,720.5533980582525,325.0544851036269,"airplane"
"1820_LM_F35_SIDE_MISSION_MARKS.jpg.pc-adaptive.full.medium.jpeg",336.7766990291262,190.9244360513245,835.7281553398058,557.8532439983444,"airplane"
"1548809690964.jpg",26.78640776699029,13.17681842672414,619.9999999999999,259.8837149784483,"airplane"
"190810_ktrk_unitedplanecamera_hpMain_16x9_992.jpg",378.5009708737864,207.02521551724138,815.7514563106796,371.05797413793107,"airplane"
"190710181319-321-overview-mid-dec-.jpg",405.7106796116505,167.60084859913792,3122.5514563106794,1427.4034348060343,"airplane"
